feature,importance
leading_lepton_pt,0.04341316891592484
Selected_loosejet_leadingpt,0.03245786266407021
delR_dilepton_jet,0.020853572557086825
mbl_min,0.018868560118363315
HT,0.010907371148824526
delR_leadinglepton_jet,0.010276257003499692
dilepton_jet_pt,0.009789171171243857
PuppiMET_pt_corr,0.007057991358180711
Selected_jet_subleading_pt,0.0066423037502557625
dijet_mass,0.0066229964320275725
centrality,0.006250997323415608
leptons_invariant_mass,0.004863984974125361
leading_lepton_jet_pt,0.003617435850500376
dilepton_jet_mass,0.0029651224008593324
delR_ele_muon,0.002815924084746698
ST,0.002545882826990568
sphericity,0.0024047404455775543
MT2,0.0020814915567863115
subleading_lepton_pt,0.001513472412681775
aplanery,0.0012282809256556708
lepton_pt_asymmetry,0.0010673267726184859
dilepton_del_phi,0.00010281051294369625
PuppiMET_phi_corr,-0.00014245985281776305
